exID,orderID,traderID,timeStamp,type,quantity,side,price
0,1,9999,0,1,1,2,1000939
0,2,9999,0,1,1,1,998795
0,1,3028,1,1,24,2,998799
0,1,3011,1,1,4,2,998862
0,1,3023,1,1,50,2,998840
0,1,3006,1,1,22,1,998798
0,1,3016,1,1,32,2,998804
0,1,3021,1,1,34,1,998783
0,1,3020,1,1,9,1,998764
0,1,3029,1,1,10,1,998779
0,1,3022,1,1,25,2,998905
0,1,3027,1,1,32,1,998747
0,1,3037,1,1,19,2,998823
0,1,3015,1,1,42,1,998714
0,1,3008,1,1,22,2,998832
0,1,3031,1,1,42,2,998898
0,1,3026,1,1,44,1,998787
0,1,3036,1,1,38,1,998695
0,1,3007,2,1,29,1,998794
0,1,3014,2,1,20,2,998822
0,1,3034,2,1,24,1,998785
0,1,3002,2,1,40,1,998774
0,2,3031,2,1,45,1,998783
0,1,3035,2,1,30,2,998820
0,1,3025,2,1,15,1,998745
0,2,3016,2,1,25,2,998828
0,2,3027,2,1,20,2,998799
0,1,3012,2,1,14,1,998779
0,1,3003,2,1,5,1,998789
0,1,3033,2,1,38,1,998758
0,2,3020,2,1,33,1,998785
0,1,3024,2,1,23,2,998819
0,2,3026,2,1,5,1,998767
0,1,3001,2,1,23,1,998773
0,2,3028,2,1,29,2,998800
0,2,3036,2,1,17,1,998671
0,1,3032,2,1,32,1,998798
0,1,3004,2,1,6,2,998811
0,1,3030,2,1,4,2,998829
0,1,3000,2,1,21,2,998874
0,1,3019,3,1,48,1,998781
0,2,3003,3,1,28,2,998971
0,2,3029,3,1,15,1,998647
0,3,3020,3,1,44,2,998809
0,3,3028,3,1,9,1,998588
0,2,3000,3,1,28,1,998789
0,2,3023,3,1,26,1,998765
0,3,3027,3,1,1,2,998966
0,2,3025,3,1,48,2,998816
0,2,3012,3,1,31,2,998822
0,1,3010,3,1,24,2,998837
0,2,3034,3,1,48,1,998791
0,1,3009,3,1,3,1,998771
0,2,3002,3,1,19,1,998739
0,2,3032,3,1,24,2,998818
0,2,3007,3,1,36,2,998806
0,2,3014,3,1,31,1,998761
0,2,3008,3,1,26,2,998911
0,3,3034,4,1,43,1,998769
0,3,3026,4,1,16,2,998867
0,3,3036,4,1,1,1,998789
0,3,3003,4,1,40,2,998807
0,3,3002,4,1,47,1,998615
0,3,3025,4,1,47,2,998801
0,3,3012,4,1,34,1,998670
0,2,3033,4,1,28,1,998740
0,2,3011,4,1,44,1,998754
0,2,3030,4,1,36,2,998881
0,4,3027,4,1,43,1,998748
0,3,3000,4,1,43,1,998777
0,2,3024,4,1,11,1,998686
0,2,3006,4,1,5,2,998933
0,3,3031,4,1,49,1,998721
0,2,3009,4,1,27,1,998789
0,3,3014,5,1,45,1,998757
0,2,3010,5,1,7,1,998791
0,2,3001,5,1,27,2,998846
0,3,3032,5,1,37,1,998627
0,3,3033,5,1,41,1,998783
0,3,3006,5,1,35,2,998866
0,3,3023,5,1,48,1,998795
0,3,3030,5,1,13,2,998808
0,4,3002,5,1,9,2,998822
0,2,3037,5,1,20,2,998799
0,4,3025,5,1,17,1,998798
0,3,3007,5,1,27,2,998810
0,3,3009,5,1,31,2,998851
0,5,3027,5,1,15,2,998833
0,2,3019,5,1,3,2,998803
0,1,3018,5,1,6,1,998745
0,1,3017,5,1,21,2,998860
0,3,3008,5,1,13,2,998836
0,4,3012,5,1,20,1,998702
0,5,3002,6,1,14,1,998796
0,3,3029,6,1,30,1,998798
0,5,3012,6,1,31,1,998698
0,4,3026,6,1,6,1,998764
0,2,3035,6,1,40,1,998773
0,3,3001,6,1,3,1,998500
0,4,3020,6,1,7,1,998719
0,2,3015,6,1,11,1,998761
0,2,3017,6,1,22,2,998816
0,3,3016,6,1,38,2,998941
0,3,3037,6,1,25,1,998642
0,4,3014,6,1,6,1,998726
0,4,3008,6,1,1,2,998867
0,1,3005,6,1,34,1,998777
0,4,3000,6,1,46,1,998777
0,4,3028,6,1,44,2,998868
0,4,3009,6,1,14,2,998833
0,5,3025,6,1,31,1,998662
0,4,3003,7,1,50,2,998816
0,4,3034,7,1,16,2,998840
0,4,3030,7,1,31,2,998810
0,2,3022,7,1,35,1,998781
0,4,3029,7,1,15,2,998815
0,5,3020,7,1,14,2,998846
0,5,3026,7,1,2,2,998896
0,3,3011,7,1,38,1,998737
0,6,3012,7,1,31,1,998794
0,4,3032,7,1,20,1,998750
0,2,3021,7,1,8,2,998802
0,2,3004,7,1,29,2,999046
0,5,3009,7,1,7,2,998799
0,6,3020,8,1,10,1,998766
0,2,3018,8,1,1,2,998810
0,4,3033,8,1,13,1,998778
0,6,3009,8,1,28,2,998871
0,5,3030,8,1,27,1,998709
0,3,3019,8,1,47,2,998801
0,5,3034,8,1,8,1,998723
0,6,3026,8,1,39,2,998823
0,3,3035,8,1,16,1,998732
0,5,3000,8,1,29,1,998797
0,6,3002,8,1,35,1,998777
0,2,3005,8,1,47,1,998793
0,4,3011,9,1,7,2,998913
0,3,3022,9,1,14,2,998801
0,6,3034,9,1,11,2,998834
0,4,3006,9,1,22,1,998740
0,4,3016,9,1,15,2,998851
0,4,3007,9,1,39,2,998811
0,6,3027,9,1,28,2,998806
0,7,3009,9,1,1,2,998860
0,5,3033,9,1,38,1,998736
0,3,3021,9,1,31,2,998931
0,6,3000,9,1,29,2,998877
0,4,3036,9,1,47,2,998856
0,3,3010,9,1,30,2,998807
0,7,3020,9,1,3,1,998789
0,4,3023,9,1,34,2,998804
0,5,3028,9,1,26,2,998953
0,6,3030,10,1,14,1,998750
0,5,3011,10,1,37,2,998877
0,6,3025,10,1,6,1,998791
0,7,3002,10,1,20,2,998942
0,5,3006,10,1,8,2,999107
0,5,3014,10,1,19,2,998856
0,3,3004,10,1,25,1,998774
0,7,3000,10,1,38,1,998705
0,3,3015,10,1,20,1,998789
0,7,3012,10,1,25,2,998875
0,6,3033,10,1,13,2,998803
0,4,3001,10,1,14,1,998767
0,3,3005,10,1,42,2,998816
0,4,3035,10,1,10,1,998792
0,3,3018,10,1,22,2,998832
0,1,3013,10,1,46,1,998797
0,8,3020,10,1,45,1,998793
0,5,3007,10,1,50,2,998926
0,7,3026,10,1,29,2,998799
0,3,3017,10,1,48,1,998788
0,4,3037,10,1,49,2,998915
0,7,3027,10,1,18,1,998785
0,4,3019,10,1,43,1,998775
0,5,3023,10,1,29,1,998609
0,5,3001,11,1,13,1,998777
0,6,3023,11,1,40,1,998794
0,6,3007,11,1,14,2,998805
0,7,3034,11,1,48,1,998796
0,8,3026,11,1,27,2,998864
0,5,3036,11,1,3,2,998842
0,4,3017,11,1,32,1,998554
0,6,3014,11,1,45,1,998797
0,6,3011,11,1,12,2,998882
0,4,3005,11,1,17,1,998763
0,6,3006,11,1,26,1,998698
0,5,3003,11,1,40,2,998802
0,5,3035,11,1,18,1,998786
0,4,3022,11,1,43,2,998860
0,5,3008,11,1,30,2,998799
0,8,3012,11,1,16,1,998798
0,8,3000,11,1,43,1,998769
0,2,3013,11,1,45,2,998905
0,6,3028,11,1,29,1,998797
0,8,3009,12,1,35,2,999093
0,6,3001,12,1,10,2,998803
0,7,3030,12,1,40,1,998784
0,7,3033,12,1,45,2,998820
0,7,3011,12,1,24,2,998818
0,5,3005,12,1,19,1,998730
0,7,3014,12,1,26,1,998794
0,5,3019,12,1,27,1,998786
0,4,3010,12,1,18,2,998826
0,6,3035,12,1,24,1,998695
0,9,3000,12,1,19,2,998801
0,7,3025,12,1,29,1,998731
0,7,3007,12,1,8,1,998771
0,3,3024,12,1,23,1,998761
0,7,3006,12,1,50,2,998812
0,8,3002,12,1,50,1,998787
0,4,3018,12,1,33,2,998811
0,8,3027,12,1,19,2,998864
0,6,3036,12,1,28,2,998878
0,7,3028,12,1,10,2,998945
0,4,3015,12,1,38,1,998773
0,9,3009,13,1,47,1,998747
0,7,3036,13,1,10,1,998568
0,6,3003,13,1,34,1,998759
0,5,3029,13,1,40,2,998809
0,5,3022,13,1,6,1,998735
0,8,3028,13,1,24,2,998805
0,4,3024,13,1,49,2,998807
0,8,3033,13,1,22,1,998715
0,9,3026,13,1,1,1,998735
0,5,3032,13,1,7,1,998770
0,3,3013,13,1,40,1,998775
0,8,3014,13,1,48,2,999234
0,6,3008,13,1,32,1,998769
0,5,3018,13,1,29,2,998842
0,5,3017,13,1,47,2,998801
0,5,3010,13,1,28,2,998825
0,4,3031,13,1,15,1,998789
0,9,3002,13,1,8,2,998815
0,8,3034,13,1,12,1,998790
0,5,3037,13,1,19,2,998809
0,7,3035,13,1,12,1,998777
0,9,3027,13,1,13,1,998782
0,4,3004,14,1,28,2,998867
0,5,3015,14,1,34,1,998788
0,7,3001,14,1,46,1,998793
0,6,3019,14,1,48,1,998723
0,10,3009,14,1,38,1,998681
0,6,3017,14,1,1,2,998799
0,9,3020,14,1,49,2,998801
0,8,3036,14,1,16,1,998752
0,8,3030,14,1,6,2,998828
0,8,3035,14,1,48,2,998799
0,7,3023,14,1,2,1,998774
0,10,3002,14,1,18,1,998749
0,6,3037,14,1,39,1,998798
0,9,3012,14,1,38,1,998656
0,10,3027,14,1,46,1,998797
0,8,3007,14,1,24,1,998766
0,9,3014,14,1,26,1,998789
0,4,3021,15,1,2,2,998863
0,11,3027,15,1,28,1,998795
0,11,3009,15,1,20,2,998816
0,9,3036,15,1,26,1,998791
0,7,3003,15,1,46,2,998814
0,7,3037,15,1,31,2,998809
0,7,3017,15,1,28,2,998898
0,9,3035,15,1,36,1,998725
0,9,3030,15,1,15,2,998814
0,5,3031,15,1,15,1,998783
0,6,3018,15,1,25,1,998776
0,10,3014,15,1,11,2,998965
0,6,3032,15,1,6,1,998795
0,11,3002,15,1,22,1,998781
0,8,3011,15,1,34,2,998843
0,9,3034,15,1,41,1,998682
0,9,3007,15,1,29,1,998738
0,6,3022,15,1,10,2,999048
0,6,3005,16,1,21,1,998680
0,5,3024,16,1,45,1,998733
0,6,3015,16,1,21,2,998889
0,8,3006,16,1,21,1,998693
0,10,3012,16,1,35,1,998778
