timeStamp,bestBid,bestAsk,bidSize,askSize
1,998795,1000939,1,1
1,998795,998799,1,24
1,998795,998799,1,24
1,998795,998799,1,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
1,998798,998799,22,24
2,998798,998799,22,24
2,998798,998799,22,24
2,998798,998799,22,24
2,998798,998799,22,24
2,998798,998799,22,24
2,998798,998799,22,24
2,998798,998799,22,24
2,998798,998799,22,24
2,998798,998799,22,44
2,998798,998799,22,44
2,998798,998799,22,44
2,998798,998799,22,44
2,998798,998799,22,44
2,998798,998799,22,44
2,998798,998799,22,44
2,998798,998799,22,44
2,998798,998799,22,44
2,998798,998799,22,44
2,998798,998799,54,44
2,998798,998799,54,44
2,998798,998799,54,44
2,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
3,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
4,998798,998799,54,44
5,998798,998799,54,44
5,998798,998799,54,44
5,998798,998799,54,44
5,998798,998799,54,44
5,998798,998799,54,44
5,998798,998799,54,44
5,998798,998799,54,44
5,998798,998799,54,44
5,998798,998799,54,44
5,998798,998799,54,64
5,998798,998799,71,64
5,998798,998799,71,64
5,998798,998799,71,64
5,998798,998799,71,64
5,998798,998799,71,64
5,998798,998799,71,64
5,998798,998799,71,64
5,998798,998799,71,64
5,998798,998799,71,64
6,998798,998799,71,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
6,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,64
7,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
8,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
9,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,71
10,998798,998799,101,100
10,998798,998799,101,100
10,998798,998799,101,100
10,998798,998799,101,100
10,998798,998799,101,100
10,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,100
11,998798,998799,101,130
11,998798,998799,117,130
11,998798,998799,117,130
11,998798,998799,117,130
11,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
12,998798,998799,117,130
13,998798,998799,117,130
13,998798,998799,117,130
13,998798,998799,117,130
13,998798,998799,117,130
13,998798,998799,117,130
13,998798,998799,117,130
13,998798,998799,117,130
13,998798,998799,117,130
